Controller,Mode,Duration,RMSE,Maximum Error
Fixed,Careful,34.52000379562378,0.0048512289119611515,0.008182220933333347
Fixed,Normal,30.449411869049072,0.0034688567068711386,0.007040498900000032
Fixed,Aggressive,30.029748201370253,0.004623123021086595,0.008568638450000016
Fixed,All,94.9991638660431,0.004314402879972961,0.007930452761111132
Adaptive,Careful,26.2595443725586,0.0029873431992982254,0.00606328758333334
Adaptive,Normal,20.61937975883484,0.0026150402591104947,0.004712250633333341
Adaptive,Aggressive,22.05947399139405,0.0028851244950765438,0.005686918233333341
Adaptive,All,68.93839812278749,0.002829169317828421,0.005487485483333341
