schema_version,participant_id,session_id,trial_id,attempt_id,input_source,controller_family,order_strategy,order_seed,estimator_state_policy,max_control_amplitude,timestamp,monotonic_timestamp,missed_cycle_count,cursor_timestamp,cursor_sample_sequence,study_running,study_phase,study_controller_mode,start_x,start_y,start_z,end_x,end_y,end_z,cursor_x,cursor_y,cursor_z,haply_pos_x,haply_pos_y,haply_pos_z,haply_vel_x,haply_vel_y,haply_vel_z,K_h,u_h,K_a,u_a,endpoint_reached
3,P18,055a0417-ae31-49e0-8e4e-6f55e956d5f1,30,1,haply,mpc,seeded_random,303268190,persist_session,10.0,31.349189872741707,7843.955215702,0,1786093324.6036134,425.0,True,aggressive,adaptive,-0.08,0.08,0.0,-0.08,-0.08,0.0,-0.077491941,0.08036554,0.0,0.016575055,-0.17173536,0.2200056,0.00030686008,0.0024200883,-0.0006585308,,,"{""Controller Type"": ""MPC Controller"", ""weight_comfort"": 500.0, ""weight_trajectory"": 3000.0, ""weight_goal"": 1000.0, ""Q"": [[3000.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 3000.0, 0.0], [0.0, 0.0, 0.0, 0.0]], ""R"": [[500.0, 0.0], [0.0, 500.0]], ""P"": [[1000.0, 0.0, 0.0, 0.0], [0.0, 100000.0, 0.0, 0.0], [0.0, 0.0, 1000.0, 0.0], [0.0, 0.0, 0.0, 100000.0]]}","[-0.0002099536748666064, -0.010657873927154891, 0.0]",
3,P18,055a0417-ae31-49e0-8e4e-6f55e956d5f1,30,1,haply,mpc,seeded_random,303268190,persist_session,10.0,31.35899173736573,7843.965031792,0,1786093324.6138368,426.0,True,aggressive,adaptive,-0.08,0.08,0.0,-0.08,-0.08,0.0,-0.077480415,0.08043968,0.0,0.016578905,-0.17167686,0.22004269,0.00032693852,0.0034403591,4.8212838e-05,"[-0.16328481356123536, 0.2368249731626736, 0.0, 0.0, 0.0, 0.0, -4.238422882221646, 0.30983098669263637]","[0.0006784099537992386, 0.6822581047998767, 0.0]","{""Controller Type"": ""MPC Controller"", ""weight_comfort"": 529.7328719592398, ""weight_trajectory"": 2821.6027682445615, ""weight_goal"": 1000.0, ""Q"": [[2821.6027682445615, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 2821.6027682445615, 0.0], [0.0, 0.0, 0.0, 0.0]], ""R"": [[529.7328719592398, 0.0], [0.0, 529.7328719592398]], ""P"": [[1000.0, 0.0, 0.0, 0.0], [0.0, 100000.0, 0.0, 0.0], [0.0, 0.0, 1000.0, 0.0], [0.0, 0.0, 0.0, 100000.0]]}","[-0.0002316832526411438, -0.010797647561843478, 0.0]",
3,P18,055a0417-ae31-49e0-8e4e-6f55e956d5f1,30,1,haply,mpc,seeded_random,303268190,persist_session,10.0,31.369190807342537,7843.975216801,0,1786093324.623664,427.0,True,aggressive,adaptive,-0.08,0.08,0.0,-0.08,-0.08,0.0,-0.077468865,0.08051386,0.0,0.016582746,-0.17161852,0.22007965,0.00033999927,0.004140183,0.0006372189,"[-0.1737240841420797, 0.24167361815419922, 0.0, 0.0, 0.0, 0.0, -2.251055259554011, 0.12251676738549111]","[0.0007237553017460471, 0.3622503623760595, 0.0]","{""Controller Type"": ""MPC Controller"", ""weight_comfort"": 529.7328719592398, ""weight_trajectory"": 2821.6027682445615, ""weight_goal"": 1000.0, ""Q"": [[2821.6027682445615, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 2821.6027682445615, 0.0], [0.0, 0.0, 0.0, 0.0]], ""R"": [[529.7328719592398, 0.0], [0.0, 529.7328719592398]], ""P"": [[1000.0, 0.0, 0.0, 0.0], [0.0, 100000.0, 0.0, 0.0], [0.0, 0.0, 1000.0, 0.0], [0.0, 0.0, 0.0, 100000.0]]}","[-0.00022462578676432114, -0.010502498130090987, 0.0]",
3,P18,055a0417-ae31-49e0-8e4e-6f55e956d5f1,30,1,haply,mpc,seeded_random,303268190,persist_session,10.0,31.37917863845826,7843.985205652,0,1786093324.6339684,428.0,True,aggressive,adaptive,-0.08,0.08,0.0,-0.08,-0.08,0.0,-0.077457342,0.08058778,0.0,0.0165866,-0.17155994,0.22011673,0.0003390955,0.004417363,0.0013754481,"[-0.15815797386589941, 0.2348313801556375, 0.0, 0.0, 0.0, 0.0, -1.4313159211867004, 0.1467990476851963]","[0.0006647489910696383, 0.23090494813962967, 0.0]","{""Controller Type"": ""MPC Controller"", ""weight_comfort"": 529.7328719592398, ""weight_trajectory"": 2821.6027682445615, ""weight_goal"": 1000.0, ""Q"": [[2821.6027682445615, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 2821.6027682445615, 0.0], [0.0, 0.0, 0.0, 0.0]], ""R"": [[529.7328719592398, 0.0], [0.0, 529.7328719592398]], ""P"": [[1000.0, 0.0, 0.0, 0.0], [0.0, 100000.0, 0.0, 0.0], [0.0, 0.0, 1000.0, 0.0], [0.0, 0.0, 0.0, 100000.0]]}","[-0.00022452143627664167, -0.010501669107878435, 0.0]",
3,P18,055a0417-ae31-49e0-8e4e-6f55e956d5f1,30,1,haply,mpc,seeded_random,303268190,persist_session,10.0,31.389191980361947,7843.995216659,0,1786093324.6439445,429.0,True,aggressive,adaptive,-0.08,0.08,0.0,-0.08,-0.08,0.0,-0.0774457799999999,0.08066194,0.0,0.0165866,-0.17155994,0.22011673,0.00033961853,0.004636281,0.0019211498,"[-0.16662624016200567, 0.23867453483326537, 0.0, 0.0, 0.0, 0.0, -1.115882499292101, 0.11655203726346956]","[0.0007022219492492929, 0.18014628428755025, 0.0]","{""Controller Type"": ""MPC Controller"", ""weight_comfort"": 507.4874561133254, ""weight_trajectory"": 2955.0752633200477, ""weight_goal"": 1000.0, ""Q"": [[2955.0752633200477, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 2955.0752633200477, 0.0], [0.0, 0.0, 0.0, 0.0]], ""R"": [[507.4874561133254, 0.0], [0.0, 507.4874561133254]], ""P"": [[1000.0, 0.0, 0.0, 0.0], [0.0, 100000.0, 0.0, 0.0], [0.0, 0.0, 1000.0, 0.0], [0.0, 0.0, 0.0, 100000.0]]}","[-0.00022618623451696826, -0.010512329512876646, 0.0]",
3,P18,055a0417-ae31-49e0-8e4e-6f55e956d5f1,30,1,haply,mpc,seeded_random,303268190,persist_session,10.0,31.399308080673226,7844.005331509,0,1786093324.65413,430.0,True,aggressive,adaptive,-0.08,0.08,0.0,-0.08,-0.08,0.0,-0.0774457799999999,0.08066194,0.0,0.016590443,-0.17150159,0.22015364,0.00033929577,0.004776537,0.0022896938,"[0.11740378400289353, 0.24196571402667424, 0.0, 0.0, 0.0, 0.0, 0.19600472097219312, 5.219607091818529]","[-0.00029987509317587187, -0.03149049872055124, 0.0]","{""Controller Type"": ""MPC Controller"", ""weight_comfort"": 507.4874561133254, ""weight_trajectory"": 2955.0752633200477, ""weight_goal"": 1000.0, ""Q"": [[2955.0752633200477, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 2955.0752633200477, 0.0], [0.0, 0.0, 0.0, 0.0]], ""R"": [[507.4874561133254, 0.0], [0.0, 507.4874561133254]], ""P"": [[1000.0, 0.0, 0.0, 0.0], [0.0, 100000.0, 0.0, 0.0], [0.0, 0.0, 1000.0, 0.0], [0.0, 0.0, 0.0, 100000.0]]}","[-0.00021162510611018038, -0.01060541234406411, 0.0]",False
3,P18,055a0417-ae31-49e0-8e4e-6f55e956d5f1,30,1,haply,mpc,seeded_random,303268190,persist_session,10.0,31.40915715217591,7844.015176042,0,1786093324.6639094,431.0,True,aggressive,adaptive,-0.08,0.08,0.0,-0.08,-0.08,0.0,-0.077434251,0.08073576,0.0,0.016590443,-0.17150159,0.22015364,0.0003341591,0.0048077186,0.002519297,"[-0.18017240725702233, 0.3796666754813526, 0.0, 0.0, 0.0, 0.0, -0.5545456970540276, 6.265667563091859]","[0.000909866315734868, 0.13643158556698948, 0.0]","{""Controller Type"": ""MPC Controller"", ""weight_comfort"": 507.4874561133254, ""weight_trajectory"": 2955.0752633200477, ""weight_goal"": 1000.0, ""Q"": [[2955.0752633200477, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 2955.0752633200477, 0.0], [0.0, 0.0, 0.0, 0.0]], ""R"": [[507.4874561133254, 0.0], [0.0, 507.4874561133254]], ""P"": [[1000.0, 0.0, 0.0, 0.0], [0.0, 100000.0, 0.0, 0.0], [0.0, 0.0, 1000.0, 0.0], [0.0, 0.0, 0.0, 100000.0]]}","[-0.0002341895906623318, -0.010749892372719509, 0.0]",False
3,P18,055a0417-ae31-49e0-8e4e-6f55e956d5f1,30,1,haply,mpc,seeded_random,303268190,persist_session,10.0,31.41914641380311,7844.025169232,0,1786093324.6742473,432.0,True,aggressive,adaptive,-0.08,0.08,0.0,-0.08,-0.08,0.0,-0.077434251,0.08073576,0.0,0.016590443,-0.17150159,0.22015364,0.00033067525,0.0048288666,0.002675019,"[0.102821146154839, 0.3837967370843342, 0.0, 0.0, 0.0, 0.0, 0.30386377379515495, 10.276874225730214]","[-0.00026381325292563264, -0.04884177461743233, 0.0]","{""Controller Type"": ""MPC Controller"", ""weight_comfort"": 439.08611112273763, ""weight_trajectory"": 3365.483333263574, ""weight_goal"": 1000.0, ""Q"": [[3365.483333263574, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 3365.483333263574, 0.0], [0.0, 0.0, 0.0, 0.0]], ""R"": [[439.08611112273763, 0.0], [0.0, 439.08611112273763]], ""P"": [[1000.0, 0.0, 0.0, 0.0], [0.0, 100000.0, 0.0, 0.0], [0.0, 0.0, 1000.0, 0.0], [0.0, 0.0, 0.0, 100000.0]]}","[-0.0002125803197681896, -0.010611528561667171, 0.0]",False
3,P18,055a0417-ae31-49e0-8e4e-6f55e956d5f1,30,1,haply,mpc,seeded_random,303268190,persist_session,10.0,31.42940008163453,7844.035432027,0,1786093324.6840248,433.0,True,aggressive,adaptive,-0.08,0.08,0.0,-0.08,-0.08,0.0,-0.077434251,0.08073576,0.0,0.016590443,-0.17150159,0.22015364,0.00032803335,0.0048449044,0.0027931093,"[0.10217257903039843, 0.3837872717726855, 0.0, 0.0, 0.0, 0.0, 0.2600295775067671, 10.072044216073586]","[-0.00026214919247466635, -0.04179605176302913, 0.0]","{""Controller Type"": ""MPC Controller"", ""weight_comfort"": 439.08611112273763, ""weight_trajectory"": 3365.483333263574, ""weight_goal"": 1000.0, ""Q"": [[3365.483333263574, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 3365.483333263574, 0.0], [0.0, 0.0, 0.0, 0.0]], ""R"": [[439.08611112273763, 0.0], [0.0, 439.08611112273763]], ""P"": [[1000.0, 0.0, 0.0, 0.0], [0.0, 100000.0, 0.0, 0.0], [0.0, 0.0, 1000.0, 0.0], [0.0, 0.0, 0.0, 100000.0]]}","[-0.00023365822581012215, -0.01133371416218951, 0.0]",False
3,P18,055a0417-ae31-49e0-8e4e-6f55e956d5f1,30,1,haply,mpc,seeded_random,303268190,persist_session,10.0,31.438983793258675,7844.045025244,0,1786093324.693794,434.0,True,aggressive,adaptive,-0.08,0.08,0.0,-0.08,-0.08,0.0,-0.077434251,0.08073576,0.0,0.016590443,-0.17150159,0.22015364,0.00031250122,0.004648523,0.002745178,"[0.1015315055260013, 0.38377791582434934, 0.0, 0.0, 0.0, 0.0, 0.22721903946311012, 9.918725953315754]","[-0.00026050435877183293, -0.03652222499457301, 0.0]","{""Controller Type"": ""MPC Controller"", ""weight_comfort"": 439.08611112273763, ""weight_trajectory"": 3365.483333263574, ""weight_goal"": 1000.0, ""Q"": [[3365.483333263574, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 3365.483333263574, 0.0], [0.0, 0.0, 0.0, 0.0]], ""R"": [[439.08611112273763, 0.0], [0.0, 439.08611112273763]], ""P"": [[1000.0, 0.0, 0.0, 0.0], [0.0, 100000.0, 0.0, 0.0], [0.0, 0.0, 1000.0, 0.0], [0.0, 0.0, 0.0, 100000.0]]}","[-0.0002336582257779781, -0.011333714162116065, 0.0]",False
