schema_version,participant_id,session_id,trial_id,attempt_id,input_source,controller_family,order_strategy,order_seed,estimator_state_policy,max_control_amplitude,timestamp,monotonic_timestamp,missed_cycle_count,cursor_timestamp,cursor_sample_sequence,study_running,study_phase,study_controller_mode,start_x,start_y,start_z,end_x,end_y,end_z,cursor_x,cursor_y,cursor_z,haply_pos_x,haply_pos_y,haply_pos_z,haply_vel_x,haply_vel_y,haply_vel_z,K_h,u_h,K_a,u_a,endpoint_reached
3,P17,e56dda32-e79e-466f-9d49-8ce4193bbfab,22,1,haply,mpc,seeded_random,3468589449,persist_session,10.0,15.360477724075317,5151.906784227,0,1786090632.5646057,159,True,careful,adaptive,-0.08,-0.08,0.0,0.08,-0.08,0.0,-0.079051062,-0.0781652599999999,0.0,,,,,,,,,"{""Controller Type"": ""MPC Controller"", ""weight_comfort"": 500.0, ""weight_trajectory"": 3000.0, ""weight_goal"": 1000.0, ""Q"": [[3000.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 3000.0, 0.0], [0.0, 0.0, 0.0, 0.0]], ""R"": [[500.0, 0.0], [0.0, 500.0]], ""P"": [[1000.0, 0.0, 0.0, 0.0], [0.0, 100000.0, 0.0, 0.0], [0.0, 0.0, 1000.0, 0.0], [0.0, 0.0, 0.0, 100000.0]]}",,
3,P17,e56dda32-e79e-466f-9d49-8ce4193bbfab,22,1,haply,mpc,seeded_random,3468589449,persist_session,10.0,15.370407857894897,5151.916720455,0,1786090632.5646057,159,True,careful,adaptive,-0.08,-0.08,0.0,0.08,-0.08,0.0,-0.079051062,-0.0781652599999999,0.0,0.0046471944,-0.095622405,0.17585936,-0.00074110564,-0.0033975823,-0.0027273726,,,"{""Controller Type"": ""MPC Controller"", ""weight_comfort"": 500.0, ""weight_trajectory"": 3000.0, ""weight_goal"": 1000.0, ""Q"": [[3000.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 3000.0, 0.0], [0.0, 0.0, 0.0, 0.0]], ""R"": [[500.0, 0.0], [0.0, 500.0]], ""P"": [[1000.0, 0.0, 0.0, 0.0], [0.0, 100000.0, 0.0, 0.0], [0.0, 0.0, 1000.0, 0.0], [0.0, 0.0, 0.0, 100000.0]]}","[0.013293203302493117, -0.00019326421210992949, 0.0]",
3,P17,e56dda32-e79e-466f-9d49-8ce4193bbfab,22,1,haply,mpc,seeded_random,3468589449,persist_session,10.0,15.380507745742797,5151.926813525,0,1786090632.574873,160,True,careful,adaptive,-0.08,-0.08,0.0,0.08,-0.08,0.0,-0.0791008488,-0.0782875399999999,0.0,0.004649281,-0.09561193,0.17575358,-0.00074859295,-0.0034315828,-0.0027956066,,,"{""Controller Type"": ""MPC Controller"", ""weight_comfort"": 500.0, ""weight_trajectory"": 3000.0, ""weight_goal"": 1000.0, ""Q"": [[3000.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 3000.0, 0.0], [0.0, 0.0, 0.0, 0.0]], ""R"": [[500.0, 0.0], [0.0, 500.0]], ""P"": [[1000.0, 0.0, 0.0, 0.0], [0.0, 100000.0, 0.0, 0.0], [0.0, 0.0, 1000.0, 0.0], [0.0, 0.0, 0.0, 100000.0]]}","[0.013249093140925814, 9.44803776582361e-05, 0.0]",False
3,P17,e56dda32-e79e-466f-9d49-8ce4193bbfab,22,1,haply,mpc,seeded_random,3468589449,persist_session,10.0,15.390215911865234,5151.936531053,0,1786090632.5849285,161,True,careful,adaptive,-0.08,-0.08,0.0,0.08,-0.08,0.0,-0.079094589,-0.0784990999999999,0.0,0.004650315,-0.09560674,0.17570065,-0.0007071755,-0.003237903,-0.0031186854,"[-1.1638923581786513, 3.407435837192202, 0.0, 0.0, 0.0, 0.0, -0.7195051231574003, 2.5220074927890943]","[-0.20169882268517972, -0.028803541519698873, 0.0]","{""Controller Type"": ""MPC Controller"", ""weight_comfort"": 478.5488211301326, ""weight_trajectory"": 3128.707073219204, ""weight_goal"": 1000.0, ""Q"": [[3128.707073219204, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 3128.707073219204, 0.0], [0.0, 0.0, 0.0, 0.0]], ""R"": [[478.5488211301326, 0.0], [0.0, 478.5488211301326]], ""P"": [[1000.0, 0.0, 0.0, 0.0], [0.0, 100000.0, 0.0, 0.0], [0.0, 0.0, 1000.0, 0.0], [0.0, 0.0, 0.0, 100000.0]]}","[0.013143191194427218, 0.0003260564860047977, 0.0]",False
3,P17,e56dda32-e79e-466f-9d49-8ce4193bbfab,22,1,haply,mpc,seeded_random,3468589449,persist_session,10.0,15.400243558883666,5151.946562953,0,1786090632.5948827,162,True,careful,adaptive,-0.08,-0.08,0.0,0.08,-0.08,0.0,-0.0790914869999999,-0.0786049599999999,0.0,0.004650315,-0.09560674,0.17570065,-0.00067131437,-0.003069824,-0.003446204,"[-1.0374513562901546, 3.3189197065253087, 0.0, 0.0, 0.0, 0.0, -0.7328087729712902, 2.555045737391572]","[-0.1629867463308985, -0.052657378125173786, 0.0]","{""Controller Type"": ""MPC Controller"", ""weight_comfort"": 478.5488211301326, ""weight_trajectory"": 3128.707073219204, ""weight_goal"": 1000.0, ""Q"": [[3128.707073219204, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 3128.707073219204, 0.0], [0.0, 0.0, 0.0, 0.0]], ""R"": [[478.5488211301326, 0.0], [0.0, 478.5488211301326]], ""P"": [[1000.0, 0.0, 0.0, 0.0], [0.0, 100000.0, 0.0, 0.0], [0.0, 0.0, 1000.0, 0.0], [0.0, 0.0, 0.0, 100000.0]]}","[0.01343479715236352, 9.756760779637007e-05, 0.0]",False
3,P17,e56dda32-e79e-466f-9d49-8ce4193bbfab,22,1,haply,mpc,seeded_random,3468589449,persist_session,10.0,15.410759725570678,5151.957047995,0,1786090632.6046453,163,True,careful,adaptive,-0.08,-0.08,0.0,0.08,-0.08,0.0,-0.0790914869999999,-0.0786049599999999,0.0,0.004650315,-0.09560674,0.17570065,-0.0006469191,-0.0029553566,-0.003685151,"[-1.0149328350356976, 3.303120059488531, 0.0, 0.0, 0.0, 0.0, -0.7248226755968006, 2.534662746210272]","[-0.16043785781241213, -0.025943555139935168, 0.0]","{""Controller Type"": ""MPC Controller"", ""weight_comfort"": 478.5488211301326, ""weight_trajectory"": 3128.707073219204, ""weight_goal"": 1000.0, ""Q"": [[3128.707073219204, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 3128.707073219204, 0.0], [0.0, 0.0, 0.0, 0.0]], ""R"": [[478.5488211301326, 0.0], [0.0, 478.5488211301326]], ""P"": [[1000.0, 0.0, 0.0, 0.0], [0.0, 100000.0, 0.0, 0.0], [0.0, 0.0, 1000.0, 0.0], [0.0, 0.0, 0.0, 100000.0]]}","[0.013442048151367826, -0.00014988266858000364, 0.0]",False
3,P17,e56dda32-e79e-466f-9d49-8ce4193bbfab,22,1,haply,mpc,seeded_random,3468589449,persist_session,10.0,15.420066394805907,5151.966373998,0,1786090632.6153111,164,True,careful,adaptive,-0.08,-0.08,0.0,0.08,-0.08,0.0,-0.0790914869999999,-0.0786049599999999,0.0,0.004650315,-0.09560674,0.17570065,-0.00067689526,-0.0030858854,-0.0046577267,"[-0.993490378806525, 3.2880408252022124, 0.0, 0.0, 0.0, 0.0, -0.7257970812816552, 2.5358557564657804]","[-0.15805586168452332, 0.0010125159602712007, 0.0]","{""Controller Type"": ""MPC Controller"", ""weight_comfort"": 477.9512764606534, ""weight_trajectory"": 3132.2923412360797, ""weight_goal"": 1000.0, ""Q"": [[3132.2923412360797, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 3132.2923412360797, 0.0], [0.0, 0.0, 0.0, 0.0]], ""R"": [[477.9512764606534, 0.0], [0.0, 477.9512764606534]], ""P"": [[1000.0, 0.0, 0.0, 0.0], [0.0, 100000.0, 0.0, 0.0], [0.0, 0.0, 1000.0, 0.0], [0.0, 0.0, 0.0, 100000.0]]}","[0.01344204815136793, -0.00014988266858002543, 0.0]",False
3,P17,e56dda32-e79e-466f-9d49-8ce4193bbfab,22,1,haply,mpc,seeded_random,3468589449,persist_session,10.0,15.430594005584716,5151.97689854,0,1786090632.6245413,165,True,careful,adaptive,-0.08,-0.08,0.0,0.08,-0.08,0.0,-0.0790914869999999,-0.0786049599999999,0.0,0.004650315,-0.09560674,0.17570065,-0.0005372017,-0.002440627,-0.0047485707,"[-0.9679755723246187, 3.270097743467607, 0.0, 0.0, 0.0, 0.0, -0.7257961738234098, 2.5358546454223925]","[-0.15399667318079963, 0.00101251469433065, 0.0]","{""Controller Type"": ""MPC Controller"", ""weight_comfort"": 477.9512764606534, ""weight_trajectory"": 3132.2923412360797, ""weight_goal"": 1000.0, ""Q"": [[3132.2923412360797, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 3132.2923412360797, 0.0], [0.0, 0.0, 0.0, 0.0]], ""R"": [[477.9512764606534, 0.0], [0.0, 477.9512764606534]], ""P"": [[1000.0, 0.0, 0.0, 0.0], [0.0, 100000.0, 0.0, 0.0], [0.0, 0.0, 1000.0, 0.0], [0.0, 0.0, 0.0, 100000.0]]}","[0.013449766679358271, -0.00015000628951779618, 0.0]",False
3,P17,e56dda32-e79e-466f-9d49-8ce4193bbfab,22,1,haply,mpc,seeded_random,3468589449,persist_session,10.0,15.440232553482055,5151.986547783,0,1786090632.6346035,166,True,careful,adaptive,-0.08,-0.08,0.0,0.08,-0.08,0.0,-0.0790914869999999,-0.0786049599999999,0.0,0.004650315,-0.09560674,0.17570065,-0.0003850324,-0.0017492877,-0.0034034767,"[-0.9437148398295292, 3.253036579142904, 0.0, 0.0, 0.0, 0.0, -0.7257952654590702, 2.5358535332696315]","[-0.1501369971724466, 0.0010125134271260618, 0.0]","{""Controller Type"": ""MPC Controller"", ""weight_comfort"": 477.9512764606534, ""weight_trajectory"": 3132.2923412360797, ""weight_goal"": 1000.0, ""Q"": [[3132.2923412360797, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 3132.2923412360797, 0.0], [0.0, 0.0, 0.0, 0.0]], ""R"": [[477.9512764606534, 0.0], [0.0, 477.9512764606534]], ""P"": [[1000.0, 0.0, 0.0, 0.0], [0.0, 100000.0, 0.0, 0.0], [0.0, 0.0, 1000.0, 0.0], [0.0, 0.0, 0.0, 100000.0]]}","[0.013449766679357584, -0.00015000628951765627, 0.0]",False
3,P17,e56dda32-e79e-466f-9d49-8ce4193bbfab,22,1,haply,mpc,seeded_random,3468589449,persist_session,10.0,15.450315990447997,5151.996631051,0,1786090632.6445858,167,True,careful,adaptive,-0.08,-0.08,0.0,0.08,-0.08,0.0,-0.0790914869999999,-0.0786049599999999,0.0,0.004650315,-0.09560674,0.17570065,-0.0002773217,-0.0012599339,-0.0024513728,"[-0.920617952129976, 3.2367938792775544, 0.0, 0.0, 0.0, 0.0, -0.7257943561877342, 2.5358524200063925]","[-0.14646247896325268, 0.001012512158656177, 0.0]","{""Controller Type"": ""MPC Controller"", ""weight_comfort"": 477.7122145166792, ""weight_trajectory"": 3133.726712899925, ""weight_goal"": 1000.0, ""Q"": [[3133.726712899925, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 3133.726712899925, 0.0], [0.0, 0.0, 0.0, 0.0]], ""R"": [[477.7122145166792, 0.0], [0.0, 477.7122145166792]], ""P"": [[1000.0, 0.0, 0.0, 0.0], [0.0, 100000.0, 0.0, 0.0], [0.0, 0.0, 1000.0, 0.0], [0.0, 0.0, 0.0, 100000.0]]}","[0.013449766679357584, -0.00015000628951765613, 0.0]",False
